alg,timestamp,infer_lr,infer_weight_decay,infer_num_epochs,gpu,seed,root_dir,results_csv,batch_size,num_epochs,lr,weight_decay,momentum,pretrained,infer_momentum,high_sampling_power,train_worst_group_accuracy,train_average_accuracy,group_accuracy,group_avg_precision,group_min_precision,group_avg_recall,group_min_recall,worst_group_accuracy,average_accuracy,early_stopping_worst_group_accuracy,early_stopping_average_accuracy
spare,2024-01-16 16:10:35.101570,0.001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,40.20618556701031,85.07221782019433,0.7789824854045038,0.9401477832512316,0.9285714285714286,0.5893704217625608,0.5864661654135338,67.22838137472284,91.113281844876,84.11214953271028,97.1574045288986
spare,2024-01-16 16:10:50.031071,0.0001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,77.56353185373888,0.6530442035029191,0.548937618515097,0.1679389312977099,0.3960114879473361,0.1654135338345864,49.06542056074766,95.234491574767,83.95638629283489,97.65737140694004
spare,2024-01-16 16:14:15.365020,0.001,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.82336694788391,0.7047539616346956,0.519826462257789,0.0847457627118644,0.4238600793830068,0.075187969924812,48.38137472283814,87.05417265046161,80.52959501557632,97.60118421968046
spare,2024-01-16 16:14:44.962519,0.0001,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.5585980624223,0.6555462885738115,0.5509576901086335,0.1742424242424242,0.4029897705637484,0.1729323308270676,68.84735202492212,95.62697003715674,80.99688473520249,97.8373329007635
spare,2024-01-16 16:17:42.896366,0.0001,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,91.02037812573492,0.6513761467889908,0.5470071728914173,0.1615384615384615,0.3901061667043144,0.1578947368421052,55.34368070953437,93.16568686964963,78.19314641744548,97.74979474433567
spare,2024-01-16 16:18:55.006059,0.001,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,59.34065934065934,90.1843979216242,0.7080900750625522,0.947337962962963,0.925925925925926,0.4815257026686889,0.3991416309012875,36.49667405764967,80.34829612498869,82.1729490022173,95.705755367603
spare,2024-01-16 16:19:26.127468,0.001,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.78832116788321,0.7147623019182652,0.5154877784988103,0.0956521739130434,0.4447868598534964,0.0827067669172932,49.53436807095344,92.5293916236299,65.10903426791278,96.26294248363432
spare,2024-01-16 16:19:27.281604,0.001,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,45.05494505494506,85.96139784133847,0.7789824854045038,0.941722972972973,0.9375,0.5823840717674014,0.5639097744360902,47.19626168224299,91.875592036552,85.66978193146417,97.01102467469586
spare,2024-01-16 16:20:20.819689,0.0001,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,27.81954887218045,83.40469339931963,0.6572143452877398,0.532493842853738,0.0975609756097561,0.3637823098518829,0.0902255639097744,49.3569844789357,85.55435000797958,84.73520249221184,97.80657342343744
spare,2024-01-16 16:20:43.963366,0.001,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,56.09756097560975,89.74179951489229,0.7055879899916597,0.9594150509365758,0.9411764705882352,0.4885201200425957,0.3755364806866952,46.031042128603104,74.76957659548891,82.52771618625277,96.24690809920229
spare,2024-01-16 20:55:04.028703,0.0001,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,27.722772277227723,98.48348405906876,0.6572143452877398,0.530981135054069,0.0975609756097561,0.3648552712252735,0.0902255639097744,72.86031042128603,93.1036370273,83.33333333333333,97.73060478117723
spare,2024-01-16 20:57:04.089701,0.0001,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,17.857142857142858,98.74706377862468,0.658882402001668,0.5301959918561582,0.1102362204724409,0.3798847978314886,0.1052631578947368,63.55140186915888,95.35080314429052,82.55451713395638,97.94970321291784
spare,2024-01-16 20:58:57.673494,1e-05,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.77932918064792,0.4737281067556297,0.5117440636331735,0.4409638554216867,0.4219158411049082,0.3927038626609442,28.07095343680709,77.06071164607751,78.97196261682242,97.65680724242432
spare,2024-01-16 20:59:01.410041,1e-05,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.77922796752145,0.4678899082568807,0.5032623626373627,0.4350961538461538,0.419769918358127,0.388412017167382,52.50554323725056,88.34268774224417,75.0778816199377,97.84567001141184
spare,2024-01-16 21:00:59.148196,1e-05,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.61555387216924,0.4678899082568807,0.5032623626373627,0.4350961538461538,0.419769918358127,0.388412017167382,45.32710280373832,95.77473234868091,76.79127725856698,97.47181729004268
spare,2024-01-16 21:03:22.867062,1e-05,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.78832116788321,0.5079232693911593,0.4913774635818337,0.4583333333333333,0.4256510374649069,0.4135338345864661,36.94013303769401,86.02888574756686,78.97196261682242,97.74278014951936
spare,2024-01-16 21:05:32.936708,1e-05,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.78832116788321,0.5112593828190158,0.4936502938706969,0.4583333333333333,0.4320888057052502,0.4135338345864661,29.17960088691796,86.1157990777121,78.97196261682242,97.66074070639152
spare,2024-01-16 21:06:26.020157,1e-05,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/result_spare.csv,64,300,0.0001,0.1,0.9,True,0.9,2,0.0,76.78832116788321,0.5079232693911593,0.49137746358183376,0.4583333333333333,0.4256510374649069,0.41353383458646614,42.172949002217294,92.29126177620319,79.59501557632399,97.76652484475697
